model,test_acc,train_time_s,grad_stats,receptive_field,params
Kernel_3x3,0.4403,84.39443731307983,"{'conv1.weight': 0.19310858845710754, 'conv1.bias': 0.13068214058876038, 'conv2.weight': 0.32200556993484497, 'conv2.bias': 0.03977023810148239, 'classifier.weight': 1.7828837633132935, 'classifier.bias': 0.08793209493160248}",5,9898
Kernel_5x5,0.524,77.95731043815613,"{'conv1.weight': 0.22113344073295593, 'conv1.bias': 0.05378405749797821, 'conv2.weight': 0.29191625118255615, 'conv2.bias': 0.014436418190598488, 'classifier.weight': 1.4037206172943115, 'classifier.bias': 0.05398200824856758}",9,3442
Kernel_7x7,0.4941,79.33800387382507,"{'conv1.weight': 0.3606799840927124, 'conv1.bias': 0.15418623387813568, 'conv2.weight': 0.5950459241867065, 'conv2.bias': 0.03909848630428314, 'classifier.weight': 1.0467842817306519, 'classifier.bias': 0.061414074152708054}",13,1540
Mixed 1x1+3x3,0.3803,86.53443837165833,"{'conv1.weight': 0.11053963005542755, 'conv1.bias': 0.13927872478961945, 'conv2.weight': 0.25038477778434753, 'conv2.bias': 0.031086429953575134, 'classifier.weight': 0.6269198656082153, 'classifier.bias': 0.03974032774567604}",3,9642
