model,acc,grad_history,learn_time_s,params
Shallow_2,0.4716,"[{'layers.0.weight': 0.09717772901058197, 'layers.0.bias': 0.043298594653606415, 'layers.2.weight': 0.15392740070819855, 'layers.2.bias': 0.0188366137444973, 'classifier.weight': 0.6375264525413513, 'classifier.bias': 0.06618610769510269}, {'layers.0.weight': 0.24700871109962463, 'layers.0.bias': 0.11936445534229279, 'layers.2.weight': 0.3932470679283142, 'layers.2.bias': 0.03807084262371063, 'classifier.weight': 1.5455830097198486, 'classifier.bias': 0.08979132771492004}, {'layers.0.weight': 0.2800881564617157, 'layers.0.bias': 0.21277034282684326, 'layers.2.weight': 0.3328230381011963, 'layers.2.bias': 0.04169880971312523, 'classifier.weight': 1.1722126007080078, 'classifier.bias': 0.06810793280601501}, {'layers.0.weight': 0.2293049842119217, 'layers.0.bias': 0.2238016277551651, 'layers.2.weight': 0.2674489915370941, 'layers.2.bias': 0.029145032167434692, 'classifier.weight': 0.8078035712242126, 'classifier.bias': 0.036505717784166336}, {'layers.0.weight': 0.2714535593986511, 'layers.0.bias': 0.2213541865348816, 'layers.2.weight': 0.3556872010231018, 'layers.2.bias': 0.031884416937828064, 'classifier.weight': 1.2392256259918213, 'classifier.bias': 0.055449601262807846}]",71.02299642562866,9898
Medium_4,0.7158,"[{'layers.0.weight': 0.4305627644062042, 'layers.0.bias': 0.44136616587638855, 'layers.2.weight': 0.9469367861747742, 'layers.2.bias': 0.17387333512306213, 'layers.4.weight': 1.0528087615966797, 'layers.4.bias': 0.06312041729688644, 'layers.6.weight': 1.6799352169036865, 'layers.6.bias': 0.03769353777170181, 'classifier.weight': 2.3636040687561035, 'classifier.bias': 0.08202680945396423}, {'layers.0.weight': 0.6755188703536987, 'layers.0.bias': 0.7011639475822449, 'layers.2.weight': 1.431274652481079, 'layers.2.bias': 0.23807662725448608, 'layers.4.weight': 1.4577959775924683, 'layers.4.bias': 0.0810803472995758, 'layers.6.weight': 2.6339030265808105, 'layers.6.bias': 0.04763365909457207, 'classifier.weight': 4.1732683181762695, 'classifier.bias': 0.0942983627319336}, {'layers.0.weight': 1.0328596830368042, 'layers.0.bias': 0.7298628091812134, 'layers.2.weight': 1.5422390699386597, 'layers.2.bias': 0.21833288669586182, 'layers.4.weight': 1.5768343210220337, 'layers.4.bias': 0.06680948287248611, 'layers.6.weight': 3.7308080196380615, 'layers.6.bias': 0.04853571951389313, 'classifier.weight': 6.385698318481445, 'classifier.bias': 0.11716046184301376}, {'layers.0.weight': 1.3441824913024902, 'layers.0.bias': 0.982905387878418, 'layers.2.weight': 2.2783193588256836, 'layers.2.bias': 0.2879087030887604, 'layers.4.weight': 2.0810558795928955, 'layers.4.bias': 0.07429372519254684, 'layers.6.weight': 2.5221455097198486, 'layers.6.bias': 0.02612527273595333, 'classifier.weight': 3.808213949203491, 'classifier.bias': 0.06339975446462631}, {'layers.0.weight': 2.0228140354156494, 'layers.0.bias': 1.3579390048980713, 'layers.2.weight': 2.809316873550415, 'layers.2.bias': 0.35316702723503113, 'layers.4.weight': 2.861581563949585, 'layers.4.bias': 0.0835554227232933, 'layers.6.weight': 4.7801618576049805, 'layers.6.bias': 0.041226547211408615, 'classifier.weight': 7.275714874267578, 'classifier.bias': 0.09294375777244568}]",84.51338076591492,28394
Deep_6,0.7746,"[{'layers.0.weight': 0.4352458119392395, 'layers.0.bias': 0.35212165117263794, 'layers.2.weight': 1.1425315141677856, 'layers.2.bias': 0.2557104229927063, 'layers.4.weight': 1.43886399269104, 'layers.4.bias': 0.12975288927555084, 'layers.6.weight': 1.5535041093826294, 'layers.6.bias': 0.06103066727519035, 'layers.8.weight': 2.2449564933776855, 'layers.8.bias': 0.04034169763326645, 'layers.10.weight': 4.309657573699951, 'layers.10.bias': 0.040938008576631546, 'classifier.weight': 3.9465975761413574, 'classifier.bias': 0.1050449013710022}, {'layers.0.weight': 1.9517165422439575, 'layers.0.bias': 0.9451670050621033, 'layers.2.weight': 4.091195106506348, 'layers.2.bias': 0.5878799557685852, 'layers.4.weight': 5.311755657196045, 'layers.4.bias': 0.2919442355632782, 'layers.6.weight': 5.474493026733398, 'layers.6.bias': 0.11530660092830658, 'layers.8.weight': 6.940859794616699, 'layers.8.bias': 0.05795491859316826, 'layers.10.weight': 13.375622749328613, 'layers.10.bias': 0.05905979126691818, 'classifier.weight': 11.711666107177734, 'classifier.bias': 0.14144174754619598}, {'layers.0.weight': 4.1993184089660645, 'layers.0.bias': 1.8175978660583496, 'layers.2.weight': 7.910623550415039, 'layers.2.bias': 1.041900873184204, 'layers.4.weight': 11.17279052734375, 'layers.4.bias': 0.5005732178688049, 'layers.6.weight': 12.910921096801758, 'layers.6.bias': 0.19961369037628174, 'layers.8.weight': 18.379486083984375, 'layers.8.bias': 0.10019304603338242, 'layers.10.weight': 34.19289016723633, 'layers.10.bias': 0.09772075712680817, 'classifier.weight': 32.62552261352539, 'classifier.bias': 0.25531208515167236}, {'layers.0.weight': 1.326169490814209, 'layers.0.bias': 0.37644582986831665, 'layers.2.weight': 2.137382984161377, 'layers.2.bias': 0.17009076476097107, 'layers.4.weight': 5.41929817199707, 'layers.4.bias': 0.10295843333005905, 'layers.6.weight': 7.744177341461182, 'layers.6.bias': 0.04429439455270767, 'layers.8.weight': 14.25993537902832, 'layers.8.bias': 0.03778433799743652, 'layers.10.weight': 15.385794639587402, 'layers.10.bias': 0.03878936916589737, 'classifier.weight': 18.425628662109375, 'classifier.bias': 0.12858892977237701}, {'layers.0.weight': 2.3858797550201416, 'layers.0.bias': 1.0145410299301147, 'layers.2.weight': 4.198571681976318, 'layers.2.bias': 0.5135586857795715, 'layers.4.weight': 6.239744663238525, 'layers.4.bias': 0.1936139017343521, 'layers.6.weight': 8.409018516540527, 'layers.6.bias': 0.07639869302511215, 'layers.8.weight': 14.89437198638916, 'layers.8.bias': 0.04439511150121689, 'layers.10.weight': 20.54366111755371, 'layers.10.bias': 0.04793746769428253, 'classifier.weight': 18.86250114440918, 'classifier.bias': 0.121299147605896}]",99.92257785797119,46890
ResNetLike,0.8452,"[{'stem.0.weight': 0.5109195113182068, 'stem.0.bias': 0.4094923138618469, 'blocks.0.conv1.weight': 0.9919368028640747, 'blocks.0.conv1.bias': 0.25967034697532654, 'blocks.0.conv2.weight': 1.1172707080841064, 'blocks.0.conv2.bias': 0.15352648496627808, 'blocks.1.conv1.weight': 0.8625125288963318, 'blocks.1.conv1.bias': 0.06450974196195602, 'blocks.1.conv2.weight': 1.2099617719650269, 'blocks.1.conv2.bias': 0.0467253178358078, 'blocks.2.conv1.weight': 1.0066802501678467, 'blocks.2.conv1.bias': 0.019383708015084267, 'blocks.2.conv2.weight': 1.982330083847046, 'blocks.2.conv2.bias': 0.02955179288983345, 'classifier.weight': 5.051575183868408, 'classifier.bias': 0.12471598386764526}, {'stem.0.weight': 2.093017816543579, 'stem.0.bias': 0.8738614320755005, 'blocks.0.conv1.weight': 2.1700761318206787, 'blocks.0.conv1.bias': 0.43985480070114136, 'blocks.0.conv2.weight': 1.85333251953125, 'blocks.0.conv2.bias': 0.22867447137832642, 'blocks.1.conv1.weight': 1.7122957706451416, 'blocks.1.conv1.bias': 0.09270856529474258, 'blocks.1.conv2.weight': 2.741560935974121, 'blocks.1.conv2.bias': 0.06564559787511826, 'blocks.2.conv1.weight': 2.48187518119812, 'blocks.2.conv1.bias': 0.02695157378911972, 'blocks.2.conv2.weight': 5.826552391052246, 'blocks.2.conv2.bias': 0.03797024115920067, 'classifier.weight': 11.044427871704102, 'classifier.bias': 0.10987986624240875}, {'stem.0.weight': 3.979224681854248, 'stem.0.bias': 1.29379141330719, 'blocks.0.conv1.weight': 6.056976795196533, 'blocks.0.conv1.bias': 1.036133885383606, 'blocks.0.conv2.weight': 4.542522430419922, 'blocks.0.conv2.bias': 0.44407549500465393, 'blocks.1.conv1.weight': 4.609626770019531, 'blocks.1.conv1.bias': 0.13863100111484528, 'blocks.1.conv2.weight': 4.629915714263916, 'blocks.1.conv2.bias': 0.054689135402441025, 'blocks.2.conv1.weight': 5.09088134765625, 'blocks.2.conv1.bias': 0.026167161762714386, 'blocks.2.conv2.weight': 7.5324015617370605, 'blocks.2.conv2.bias': 0.03201986476778984, 'classifier.weight': 11.900960922241211, 'classifier.bias': 0.07828778773546219}, {'stem.0.weight': 1.4945427179336548, 'stem.0.bias': 0.4394317865371704, 'blocks.0.conv1.weight': 2.190558910369873, 'blocks.0.conv1.bias': 0.3500649631023407, 'blocks.0.conv2.weight': 1.4233988523483276, 'blocks.0.conv2.bias': 0.13686111569404602, 'blocks.1.conv1.weight': 1.4383819103240967, 'blocks.1.conv1.bias': 0.04230443015694618, 'blocks.1.conv2.weight': 1.8387209177017212, 'blocks.1.conv2.bias': 0.019722191616892815, 'blocks.2.conv1.weight': 2.213125705718994, 'blocks.2.conv1.bias': 0.007465112954378128, 'blocks.2.conv2.weight': 5.362370491027832, 'blocks.2.conv2.bias': 0.015933183953166008, 'classifier.weight': 8.681262969970703, 'classifier.bias': 0.04488213360309601}, {'stem.0.weight': 2.423377513885498, 'stem.0.bias': 0.9368048310279846, 'blocks.0.conv1.weight': 2.5558090209960938, 'blocks.0.conv1.bias': 0.5064581036567688, 'blocks.0.conv2.weight': 1.9139224290847778, 'blocks.0.conv2.bias': 0.1946045458316803, 'blocks.1.conv1.weight': 1.8965857028961182, 'blocks.1.conv1.bias': 0.06691668927669525, 'blocks.1.conv2.weight': 3.1745846271514893, 'blocks.1.conv2.bias': 0.040813300758600235, 'blocks.2.conv1.weight': 3.279820680618286, 'blocks.2.conv1.bias': 0.01519237644970417, 'blocks.2.conv2.weight': 9.551728248596191, 'blocks.2.conv2.bias': 0.026682943105697632, 'classifier.weight': 17.033283233642578, 'classifier.bias': 0.08318310976028442}]",112.60348081588745,56138
