model,acc,grad_history,learn_time_s,params
Shallow_2,0.351,"[{'layers.0.weight': 0.20792444050312042, 'layers.0.bias': 0.07058589905500412, 'layers.2.weight': 0.2034057229757309, 'layers.2.bias': 0.030800074338912964, 'classifier.weight': 0.3029331862926483, 'classifier.bias': 0.05379543453454971}, {'layers.0.weight': 0.23056979477405548, 'layers.0.bias': 0.09863146394491196, 'layers.2.weight': 0.3115375339984894, 'layers.2.bias': 0.04370065778493881, 'classifier.weight': 0.46899962425231934, 'classifier.bias': 0.07646375149488449}, {'layers.0.weight': 0.2608092725276947, 'layers.0.bias': 0.04861343279480934, 'layers.2.weight': 0.201689675450325, 'layers.2.bias': 0.02312248758971691, 'classifier.weight': 0.44266360998153687, 'classifier.bias': 0.05877424031496048}, {'layers.0.weight': 0.415343701839447, 'layers.0.bias': 0.11188734322786331, 'layers.2.weight': 0.23622289299964905, 'layers.2.bias': 0.02977156825363636, 'classifier.weight': 0.39074400067329407, 'classifier.bias': 0.04174252972006798}, {'layers.0.weight': 0.4145510792732239, 'layers.0.bias': 0.11675123870372772, 'layers.2.weight': 0.3357219398021698, 'layers.2.bias': 0.037609320133924484, 'classifier.weight': 0.8401411771774292, 'classifier.bias': 0.07424924522638321}]",142.77414393424988,10474
Medium_4,0.3642,"[{'layers.0.weight': 0.6671684384346008, 'layers.0.bias': 0.15139111876487732, 'layers.2.weight': 0.7204965949058533, 'layers.2.bias': 0.09569051861763, 'layers.4.weight': 0.4742821753025055, 'layers.4.bias': 0.03704913333058357, 'layers.6.weight': 0.5403242707252502, 'layers.6.bias': 0.025161797180771828, 'classifier.weight': 0.5702248811721802, 'classifier.bias': 0.05651698634028435}, {'layers.0.weight': 0.48009225726127625, 'layers.0.bias': 0.24246327579021454, 'layers.2.weight': 0.5639654397964478, 'layers.2.bias': 0.1333751380443573, 'layers.4.weight': 0.4080052375793457, 'layers.4.bias': 0.041930168867111206, 'layers.6.weight': 0.4972105026245117, 'layers.6.bias': 0.020060937851667404, 'classifier.weight': 0.7693350911140442, 'classifier.bias': 0.05557131767272949}, {'layers.0.weight': 1.545510172843933, 'layers.0.bias': 0.527925968170166, 'layers.2.weight': 1.4319078922271729, 'layers.2.bias': 0.25884708762168884, 'layers.4.weight': 0.7876126170158386, 'layers.4.bias': 0.0624224878847599, 'layers.6.weight': 0.7809203863143921, 'layers.6.bias': 0.021464375779032707, 'classifier.weight': 1.2339991331100464, 'classifier.bias': 0.05147544667124748}, {'layers.0.weight': 1.080992579460144, 'layers.0.bias': 0.3781753182411194, 'layers.2.weight': 0.9582072496414185, 'layers.2.bias': 0.1824791431427002, 'layers.4.weight': 0.5337580442428589, 'layers.4.bias': 0.04541914910078049, 'layers.6.weight': 0.8280542492866516, 'layers.6.bias': 0.024721570312976837, 'classifier.weight': 1.5158936977386475, 'classifier.bias': 0.06389666348695755}, {'layers.0.weight': 0.9965351819992065, 'layers.0.bias': 0.35951560735702515, 'layers.2.weight': 1.018511176109314, 'layers.2.bias': 0.211358904838562, 'layers.4.weight': 0.9792492389678955, 'layers.4.bias': 0.08243715763092041, 'layers.6.weight': 1.6231390237808228, 'layers.6.bias': 0.04943186789751053, 'classifier.weight': 2.6770870685577393, 'classifier.bias': 0.10726052522659302}]",321.75035858154297,28970
Deep_6,0.3569,"[{'layers.0.weight': 0.8866777420043945, 'layers.0.bias': 0.21584360301494598, 'layers.2.weight': 0.8348774909973145, 'layers.2.bias': 0.17130568623542786, 'layers.4.weight': 0.5748227834701538, 'layers.4.bias': 0.08579998463392258, 'layers.6.weight': 0.5459995269775391, 'layers.6.bias': 0.0501878559589386, 'layers.8.weight': 0.5287522673606873, 'layers.8.bias': 0.030004488304257393, 'layers.10.weight': 0.599894106388092, 'layers.10.bias': 0.025523371994495392, 'classifier.weight': 0.677489161491394, 'classifier.bias': 0.07153147459030151}, {'layers.0.weight': 0.5288025736808777, 'layers.0.bias': 0.1201162040233612, 'layers.2.weight': 0.5942757725715637, 'layers.2.bias': 0.1177680566906929, 'layers.4.weight': 0.6075538992881775, 'layers.4.bias': 0.08131633698940277, 'layers.6.weight': 0.7558233141899109, 'layers.6.bias': 0.053292274475097656, 'layers.8.weight': 1.0801993608474731, 'layers.8.bias': 0.0417744517326355, 'layers.10.weight': 1.2870250940322876, 'layers.10.bias': 0.04061504825949669, 'classifier.weight': 1.3662710189819336, 'classifier.bias': 0.0849698930978775}, {'layers.0.weight': 1.9255321025848389, 'layers.0.bias': 0.7681336402893066, 'layers.2.weight': 2.09468150138855, 'layers.2.bias': 0.5106543898582458, 'layers.4.weight': 1.3739763498306274, 'layers.4.bias': 0.26544302701950073, 'layers.6.weight': 1.427499532699585, 'layers.6.bias': 0.1376207172870636, 'layers.8.weight': 1.3116635084152222, 'layers.8.bias': 0.062013883143663406, 'layers.10.weight': 1.3871840238571167, 'layers.10.bias': 0.03673500567674637, 'classifier.weight': 1.4765510559082031, 'classifier.bias': 0.07502242177724838}, {'layers.0.weight': 2.439600944519043, 'layers.0.bias': 0.5035250782966614, 'layers.2.weight': 1.5548616647720337, 'layers.2.bias': 0.3397636115550995, 'layers.4.weight': 1.054360270500183, 'layers.4.bias': 0.20498506724834442, 'layers.6.weight': 0.9246821403503418, 'layers.6.bias': 0.09600982069969177, 'layers.8.weight': 0.9158964157104492, 'layers.8.bias': 0.0424308218061924, 'layers.10.weight': 1.1428450345993042, 'layers.10.bias': 0.02903546206653118, 'classifier.weight': 1.7983403205871582, 'classifier.bias': 0.07887861132621765}, {'layers.0.weight': 1.9324045181274414, 'layers.0.bias': 0.40011271834373474, 'layers.2.weight': 1.3598430156707764, 'layers.2.bias': 0.3139045238494873, 'layers.4.weight': 1.1714446544647217, 'layers.4.bias': 0.1902170181274414, 'layers.6.weight': 1.1047759056091309, 'layers.6.bias': 0.08606000989675522, 'layers.8.weight': 1.3537863492965698, 'layers.8.bias': 0.0524134524166584, 'layers.10.weight': 1.6622393131256104, 'layers.10.bias': 0.03866437077522278, 'classifier.weight': 2.333766460418701, 'classifier.bias': 0.09879577159881592}]",498.756765127182,47466
ResNetLike,0.3904,"[{'stem.0.weight': 0.6624755263328552, 'stem.0.bias': 0.2510682940483093, 'blocks.0.conv1.weight': 0.9094507098197937, 'blocks.0.conv1.bias': 0.17465560138225555, 'blocks.0.conv2.weight': 0.589349091053009, 'blocks.0.conv2.bias': 0.1329600214958191, 'blocks.1.conv1.weight': 0.6440815925598145, 'blocks.1.conv1.bias': 0.06531763821840286, 'blocks.1.conv2.weight': 0.5052779912948608, 'blocks.1.conv2.bias': 0.05527626723051071, 'blocks.2.conv1.weight': 0.5471624732017517, 'blocks.2.conv1.bias': 0.029793482273817062, 'blocks.2.conv2.weight': 0.5625085830688477, 'blocks.2.conv2.bias': 0.03821776062250137, 'classifier.weight': 0.8780884146690369, 'classifier.bias': 0.08291838318109512}, {'stem.0.weight': 1.8802193403244019, 'stem.0.bias': 0.26065942645072937, 'blocks.0.conv1.weight': 1.4355717897415161, 'blocks.0.conv1.bias': 0.15376581251621246, 'blocks.0.conv2.weight': 0.687811017036438, 'blocks.0.conv2.bias': 0.13524581491947174, 'blocks.1.conv1.weight': 0.9680773019790649, 'blocks.1.conv1.bias': 0.08201673626899719, 'blocks.1.conv2.weight': 1.0202816724777222, 'blocks.1.conv2.bias': 0.08326517045497894, 'blocks.2.conv1.weight': 1.2677582502365112, 'blocks.2.conv1.bias': 0.04857456311583519, 'blocks.2.conv2.weight': 1.5183980464935303, 'blocks.2.conv2.bias': 0.057447344064712524, 'classifier.weight': 2.2328081130981445, 'classifier.bias': 0.11797560751438141}, {'stem.0.weight': 1.2262201309204102, 'stem.0.bias': 0.22140221297740936, 'blocks.0.conv1.weight': 1.0713274478912354, 'blocks.0.conv1.bias': 0.1448003649711609, 'blocks.0.conv2.weight': 0.4671015739440918, 'blocks.0.conv2.bias': 0.1027606874704361, 'blocks.1.conv1.weight': 0.5704052448272705, 'blocks.1.conv1.bias': 0.04832152649760246, 'blocks.1.conv2.weight': 0.489793062210083, 'blocks.1.conv2.bias': 0.03630395978689194, 'blocks.2.conv1.weight': 0.5873435139656067, 'blocks.2.conv1.bias': 0.01895257458090782, 'blocks.2.conv2.weight': 0.8828517198562622, 'blocks.2.conv2.bias': 0.024573959410190582, 'classifier.weight': 1.3709596395492554, 'classifier.bias': 0.05521724000573158}, {'stem.0.weight': 2.1467232704162598, 'stem.0.bias': 0.7261410355567932, 'blocks.0.conv1.weight': 2.6027133464813232, 'blocks.0.conv1.bias': 0.4736952483654022, 'blocks.0.conv2.weight': 1.3019803762435913, 'blocks.0.conv2.bias': 0.32297712564468384, 'blocks.1.conv1.weight': 1.5480936765670776, 'blocks.1.conv1.bias': 0.14524082839488983, 'blocks.1.conv2.weight': 1.3213077783584595, 'blocks.1.conv2.bias': 0.11047986894845963, 'blocks.2.conv1.weight': 1.38469660282135, 'blocks.2.conv1.bias': 0.05115360766649246, 'blocks.2.conv2.weight': 1.5996359586715698, 'blocks.2.conv2.bias': 0.05148858204483986, 'classifier.weight': 2.2384583950042725, 'classifier.bias': 0.09996052831411362}, {'stem.0.weight': 6.251176834106445, 'stem.0.bias': 2.211630344390869, 'blocks.0.conv1.weight': 8.427241325378418, 'blocks.0.conv1.bias': 1.7152966260910034, 'blocks.0.conv2.weight': 3.6662614345550537, 'blocks.0.conv2.bias': 1.0612770318984985, 'blocks.1.conv1.weight': 4.559767246246338, 'blocks.1.conv1.bias': 0.4664103090763092, 'blocks.1.conv2.weight': 3.403257369995117, 'blocks.1.conv2.bias': 0.30707621574401855, 'blocks.2.conv1.weight': 3.0273244380950928, 'blocks.2.conv1.bias': 0.11731062084436417, 'blocks.2.conv2.weight': 2.5781641006469727, 'blocks.2.conv2.bias': 0.08312133699655533, 'classifier.weight': 3.7819082736968994, 'classifier.bias': 0.16918690502643585}]",577.759073972702,56714
