model,best_train_acc,best_test_acc,total_train_time_s,inference_time_s,params
FC,0.9926833333333334,0.9776,112.75153359997785,1.8203816413879395,567434
CNN,0.9908666666666667,0.992,148.85021150007378,1.933985710144043,421642
ResCNN,0.9941166666666666,0.9922,189.4177644000738,2.4767680168151855,108042
